"No","City","Restaurant","Review"
"32","Trichy","Ammikal Restaurant","The food was really good, met our expectations. Quantity & quality was perfect too. Price is economical as well. keep maintaining the same."
"33","Trichy","Ammikal Restaurant","Food is good but not up to the expection and service is too poor."
"34","Trichy","Ammikal Restaurant","Rabi Bee AF"
"35","Trichy","Ammikal Restaurant","Haleem was so worst ... Ini haleem seiyadhingaa rmba kevalamaa iruku raw meat ah sapura mari iruku ..."
"36","Trichy","Sethuraman Mess","K Sitaram Rao"
"37","Trichy","Sethuraman Mess","Each every item in the pic are chargable
Don’t see pic and go. Waste of money. Every item u hv to order . If u go minimum cost will be. 150++++++++
They will give only gravy. Peices and curry additional charge. All items . Each one is charged"
"38","Trichy","Sethuraman Mess","very worst service, taste is very average, not worth for every penny, simply not suggest."
"39","Trichy","Sethuraman Mess","Based on good experience in karur locality Trichy sethuram mess... We wanted to try in Trichy but that was wrong move I would say... The staffs are not attentive it is like they giving food for free kind of treatment to us... We waited no one is courteous... No card payment only cash... The food was really horrible... My strong objection to this place dnt even give a try"
"40","Trichy","Avana Chapathi","Jose K Joseph"
"41","Trichy","Suvai Briyani Family Restaurant","worst service bad experience packing foods are Missing in the order very unethical shop"
"42","Trichy","Suvai Briyani Family Restaurant","Today I purchased half grill, Tantorri and 2 kolampu kalakki, biriyani and 2 paratto.. Bill no.189.... Except biriyani and tantoori all other items heavy salt, In a very difficult mood came the situation where all the food had to be thrown away.???i was try to contact suvai biriyani, but he didn't pick up my phone call,this is very worst situation......"
"43","Trichy","Pizza Hut","food was realy good pizza was sogood"
"44","Trichy","Pizza Hut","chesey pizza ?"
"45","Trichy","CakeBee","good ambient good service"
"46","Trichy","CakeBee","I have recently ordered cake for my mummy's birthday. And believe me the cake was amazing, rich in taste and absolutely in budget. It is one of the best cake shop available at nearby."
"47","Trichy","CakeBee","This is very good than other this types . I am very happy to take this . This is really amazing."
"48","Trichy","Tambura Pure Veg Restaurant","The food is nice. Especially their service is very nice.. Mr Pradeep did great job serving us with a big smile . Keep it up !!! ?"
"49","Trichy","Mogal Biryani","Ordered Ful chicken biriyani and 10 porota combo..wow .really excellent food..had the new experience.3xcellent the taste and presentation"
"50","Trichy","Mogal Biryani","I ordered ckn stuffed briyani still mouth watering ???"
"51","Trichy","Cascade Cafe","Had an Outdoor dining at evening .
A good cafe to catch up with friends. Tasty and scrumptious food too :) The chef there is very friendly."
"52","Trichy","Cascade Cafe","We had gone as group on a weekday afternoon so the place was empty. We occupied the outside seating area which has a nice view of the garden. They have done up the place well with plants. All the food we ordered was good, of special mention the pasta arabbiata and potato fries. The problem here is there’s only one person taking the order so after a while when people started trickling in, the food was coming in very slowly. Overall a nice cafe in Trichy"
"53","Trichy","Cascade Cafe","The ambience was great and the chicken burger is hands down the best burger you can get in bristos or cafes in trichy, it’s shame that they don’t deliver their burgers via ZOMATO so -1 star for that."
"54","Trichy","Hotel Raja","Chirayu Murali Urs"
"55","Trichy","Hotel Raja","Worst place to have food. No taste. Really bad ambiance. Horrible hygiene. Poor quality of food. Everything was uncooked."
"56","Trichy","Hotel Raja","not worthy for money , tandoori chicken was very old and very worst preparation. quality and quantity wise very bad impression"
"57","Trichy","Shri Sangeethas","many times instead of mutter panner gravy they send Butter paneer.kindly take care of order items n send carefully."
"58","Trichy","Shri Sangeethas","Sangeethas serves amazing vegetarian food. We enjoyed Dosas, soups, vegetarian thali, mushroom biryani, Parottas here. Very hygienic well maintained place. Service staff is courteous."
"59","Trichy","Shri Sangeethas","I ordered this items, but I am not receiving pomegranate juice so I informed the the hotel management but she is not proper responsible,now what is the solution it is"
"60","Trichy","KMS Hakkim Kalyana Biriyani Restaurant","Worst quality of food... Taste is very bad and awful. After having briyani, all members in the family got food poisoning and still recovering."
"61","Trichy","KMS Hakkim Kalyana Biriyani Restaurant","chicken biryani very West"
"62","Trichy","KMS Hakkim Kalyana Biriyani Restaurant","you can get trichy's best biriyani over here , the money we pay is worth it because of the number pieces and biriyani taste and also that elumbu thaalcha"
"63","Trichy","KMS Hakkim Kalyana Biriyani Restaurant","worst order 1 kg of briyani only rice is there piece is not inthe briyani bread alwa worst very bad taste like alugi ponathu no good any like a beada also worst dontry pls"
"64","Trichy","KMS Hakkim Kalyana Biriyani Restaurant","JAM007 EMOTE GAMER"
